Time,Event,Details
13:03:45,Bad Posture,Leaning too close
13:03:46,Bad Posture,Leaning too close
13:03:46,Bad Posture,Leaning too close
13:03:46,Bad Posture,Leaning too close
13:03:47,Bad Posture,Leaning too close
13:03:47,Bad Posture,Leaning too close
13:03:47,Bad Posture,Leaning too close
13:03:51,Bad Posture,Leaning too close
13:03:51,Bad Posture,Leaning too close
13:03:52,Bad Posture,Leaning too close
13:03:52,Bad Posture,Leaning too close
13:03:52,Bad Posture,Leaning too close
13:03:55,Bad Posture,Leaning too close
13:03:55,Bad Posture,Leaning too close
13:03:56,Bad Posture,Leaning too close
13:03:56,Bad Posture,Leaning too close
13:03:56,Bad Posture,Leaning too close
13:03:57,Bad Posture,Leaning too close
13:03:57,Bad Posture,Leaning too close
13:03:57,Bad Posture,Leaning too close
13:03:58,Bad Posture,Leaning too close
13:03:58,Bad Posture,Leaning too close
13:03:59,Bad Posture,Leaning too close
13:03:59,Bad Posture,Leaning too close
13:03:59,Privacy Breach,Evidence Captured
13:04:00,Bad Posture,Leaning too close
13:04:00,Bad Posture,Leaning too close
13:04:00,Bad Posture,Leaning too close
13:04:01,Bad Posture,Leaning too close
13:04:01,Bad Posture,Leaning too close
13:04:01,Bad Posture,Leaning too close
13:04:02,Bad Posture,Leaning too close
